year,state,fpl_class,disability,total,mid_acs
2016,Washington,fpl_000100,12609,219668,5.740025857202688
2016,Washington,fpl_100200,15667,330135,4.745634361700517
2016,West Virginia,fpl_000100,7176,88351,8.122149155074645
2016,West Virginia,fpl_100200,7024,95264,7.373194491098421
2016,Wisconsin,fpl_000100,15386,198480,7.751914550584442
2016,Wisconsin,fpl_100200,13110,247907,5.288273425115063
2016,Wyoming,fpl_000100,1411,15367,9.182013405349124
2016,Wyoming,fpl_100200,2002,29733,6.733259341472437
2017,Alabama,fpl_000100,17167,265078,6.476207003221693
2017,Alabama,fpl_100200,11389,245828,4.6329140700001625
2017,Alaska,fpl_000100,835,26865,3.108133258887028
2017,Alaska,fpl_100200,1004,34304,2.9267723880597014
2017,Arizona,fpl_000100,16329,332299,4.913947980583751
2017,Arizona,fpl_100200,16869,398019,4.23823988302066
2017,Arkansas,fpl_000100,12845,156427,8.211498015048553
2017,Arkansas,fpl_100200,14176,190049,7.459128961478356
2017,California,fpl_000100,64766,1618889,4.000644886709342
2017,California,fpl_100200,75580,1959670,3.8567718034158815
2017,Colorado,fpl_000100,9296,149043,6.237126198479634
2017,Colorado,fpl_100200,10302,245424,4.197633483277919
2017,Connecticut,fpl_000100,5929,92583,6.403983452685698
2017,Connecticut,fpl_100200,7878,128305,6.140056895678267
2017,Delaware,fpl_000100,1642,36755,4.467419398721263
2017,Delaware,fpl_100200,1483,40218,3.687403650106917
2017,Florida,fpl_000100,57020,840179,6.7866490355031495
2017,Florida,fpl_100200,54023,1054946,5.120925620837465
2017,Georgia,fpl_000100,28534,519099,5.496832010849568
2017,Georgia,fpl_100200,26151,585197,4.468751548623797
2017,Hawaii,fpl_000100,1068,34441,3.1009552568160044
2017,Hawaii,fpl_100200,1057,48820,2.1650962720196643
2017,Idaho,fpl_000100,3449,67147,5.136491578179219
2017,Idaho,fpl_100200,8492,115808,7.3328267477203655
2017,Illinois,fpl_000100,26269,486196,5.402965059358777
2017,Illinois,fpl_100200,20292,577326,3.51482524604816
2017,Indiana,fpl_000100,21427,282390,7.587733276674104
2017,Indiana,fpl_100200,22426,342211,6.553266844140018
2017,Iowa,fpl_000100,6932,88070,7.87101169524242
2017,Iowa,fpl_100200,6719,150621,4.460865350781099
2017,Kansas,fpl_000100,6786,103684,6.544886385556113
2017,Kansas,fpl_100200,7273,165605,4.391775610639775
2017,Kentucky,fpl_000100,19274,222906,8.646694122186034
2017,Kentucky,fpl_100200,15308,213340,7.175400768725977
2017,Louisiana,fpl_000100,19628,306513,6.403643564873268
2017,Louisiana,fpl_100200,16956,245413,6.909169440901664
2017,Maine,fpl_000100,3294,32567,10.114533116344766
2017,Maine,fpl_100200,4154,48227,8.613432309702034
2017,Maryland,fpl_000100,11556,159886,7.2276497004115425
2017,Maryland,fpl_100200,10377,234102,4.432683189378989
2017,Massachusetts,fpl_000100,15086,182470,8.267660437332164
2017,Massachusetts,fpl_100200,10046,188417,5.331790655832542
2017,Michigan,fpl_000100,32123,419449,7.658380399047321
2017,Michigan,fpl_100200,25614,457176,5.602656307417712
2017,Minnesota,fpl_000100,11608,149926,7.742486293237998
2017,Minnesota,fpl_100200,13339,220560,6.0477874501269495
2017,Mississippi,fpl_000100,10330,189541,5.4500081776502185
2017,Mississippi,fpl_100200,11249,176701,6.36612130095472
2017,Missouri,fpl_000100,20434,252041,8.107411095813777
2017,Missouri,fpl_100200,16217,309889,5.233164132963738
2017,Montana,fpl_000100,1859,32857,5.657850686307332
2017,Montana,fpl_100200,2297,52197,4.400636051880377
2017,Nebraska,fpl_000100,3342,65591,5.095211233248464
2017,Nebraska,fpl_100200,4972,106963,4.64833634060376
2017,Nevada,fpl_000100,4414,124514,3.544982893489889
2017,Nevada,fpl_100200,6983,159130,4.388236033431785
2017,New Hampshire,fpl_000100,3875,25909,14.956192828746767
2017,New Hampshire,fpl_100200,2995,33661,8.897537209233237
2017,New Jersey,fpl_000100,16878,272251,6.199426264733646
2017,New Jersey,fpl_100200,15146,314396,4.817491316683419
2017,New Mexico,fpl_000100,7850,130502,6.015233483011754
2017,New Mexico,fpl_100200,5614,125672,4.467184416576485
2017,New York,fpl_000100,57242,803171,7.127000352353359
2017,New York,fpl_100200,38624,809256,4.772778947576539
2017,North Carolina,fpl_000100,28512,481494,5.921569116126058
2017,North Carolina,fpl_100200,23299,504462,4.6185837585388
2017,North Dakota,fpl_000100,1019,18519,5.502456936119661
2017,North Dakota,fpl_100200,739,30777,2.4011437112129186
2017,Ohio,fpl_000100,42366,513238,8.254649889524938
2017,Ohio,fpl_100200,33788,529883,6.376501982513121
2017,Oklahoma,fpl_000100,16406,202674,8.094772886507396
2017,Oklahoma,fpl_100200,14552,248071,5.866062538547432
2017,Oregon,fpl_000100,9507,141151,6.735340167621909
2017,Oregon,fpl_100200,8012,192642,4.159009977055886
2017,Pennsylvania,fpl_000100,45424,444486,10.219444481940938
2017,Pennsylvania,fpl_100200,30561,501318,6.096130599739088
2017,Rhode Island,fpl_000100,3700,33858,10.927993384133735
2017,Rhode Island,fpl_100200,1862,32522,5.725355144210073
2017,South Carolina,fpl_000100,17649,245023,7.202997269644074
2017,South Carolina,fpl_100200,15875,269306,5.894781401082783
2017,South Dakota,fpl_000100,1453,34442,4.2186864874281405
2017,South Dakota,fpl_100200,1599,40731,3.9257567945790677
2017,Tennessee,fpl_000100,26423,314781,8.394089859299005
2017,Tennessee,fpl_100200,21685,350876,6.180246012836443
2017,Texas,fpl_000100,83495,1524712,5.476116145212997
2017,Texas,fpl_100200,80039,1757489,4.554167906598562
2017,United States,fpl_000100,855190,13353197,6.404383908962026
2017,United States,fpl_100200,785791,15665679,5.016003455707219
2017,Utah,fpl_000100,5304,97832,5.421538964755908
2017,Utah,fpl_100200,9868,196302,5.026948273578466
2017,Vermont,fpl_000100,1557,15946,9.764204189138342
2017,Vermont,fpl_100200,1044,24122,4.327999336705083
2017,Virginia,fpl_000100,16131,258133,6.24910414398779
2017,Virginia,fpl_100200,16247,322011,5.045479812801426
2017,Washington,fpl_000100,13837,232452,5.952626778861872
2017,Washington,fpl_100200,17572,304882,5.7635413045046935
2017,West Virginia,fpl_000100,7105,93758,7.5780200089592356
2017,West Virginia,fpl_100200,5663,78425,7.2209116990755495
2017,Wisconsin,fpl_000100,12750,181828,7.012121345447346
2017,Wisconsin,fpl_100200,15410,254007,6.066761939631585
2017,Wyoming,fpl_000100,1125,18013,6.245489368789208
2017,Wyoming,fpl_100200,1883,29129,6.464348244017989
2018,Alabama,fpl_000100,17833,255186,6.988236031757228
2018,Alabama,fpl_100200,12582,237962,5.287398828384364
2018,Alaska,fpl_000100,1081,25327,4.268172306234453
2018,Alaska,fpl_100200,914,29040,3.147382920110193
2018,Arizona,fpl_000100,18782,324622,5.785806260820277
2018,Arizona,fpl_100200,18290,396856,4.608724575160764
2018,Arkansas,fpl_000100,14306,170769,8.377398708196452
2018,Arkansas,fpl_100200,12648,175779,7.195398767770894
2018,California,fpl_000100,66663,1541067,4.325769093751278
2018,California,fpl_100200,73863,1914422,3.8582402417021955
2018,Colorado,fpl_000100,8764,149487,5.862717159351649
2018,Colorado,fpl_100200,10163,242872,4.184508712408182
2018,Connecticut,fpl_000100,8088,102083,7.9229646464151715
2018,Connecticut,fpl_100200,5632,118323,4.759852268789669
2018,Delaware,fpl_000100,2165,37283,5.806936137113429
2018,Delaware,fpl_100200,2461,40028,6.148196262616168
2018,Florida,fpl_000100,50535,819235,6.168559692884215
2018,Florida,fpl_100200,51216,1027200,4.9859813084112155
2018,Georgia,fpl_000100,32294,504745,6.398082199922733
2018,Georgia,fpl_100200,24987,574484,4.349468392505274
2018,Hawaii,fpl_000100,2052,35368,5.801854783985524
2018,Hawaii,fpl_100200,1251,50658,2.469501362075092
2018,Idaho,fpl_000100,3872,62855,6.160210007159335
2018,Idaho,fpl_100200,5709,121983,4.680160350212734
2018,Illinois,fpl_000100,28367,456926,6.208226277340313
2018,Illinois,fpl_100200,23397,572923,4.083794855504143
2018,Indiana,fpl_000100,18886,275370,6.858408686494534
2018,Indiana,fpl_100200,19926,344005,5.792357669219924
2018,Iowa,fpl_000100,5903,97222,6.071671020962334
2018,Iowa,fpl_100200,6354,144957,4.383368861110537
2018,Kansas,fpl_000100,7539,103210,7.304524755353163
2018,Kansas,fpl_100200,9602,156019,6.154378633371577
2018,Kentucky,fpl_000100,23535,225710,10.427096717026272
2018,Kentucky,fpl_100200,16806,218732,7.683375089150194
2018,Louisiana,fpl_000100,19810,283218,6.994611924383337
2018,Louisiana,fpl_100200,16317,260524,6.263146581504967
2018,Maine,fpl_000100,3032,34878,8.693159011411204
2018,Maine,fpl_100200,3985,48680,8.186113393590796
2018,Maryland,fpl_000100,12978,152237,8.52486583419274
2018,Maryland,fpl_100200,11342,224040,5.062488841278343
2018,Massachusetts,fpl_000100,13883,163788,8.476200942682004
2018,Massachusetts,fpl_100200,13718,198932,6.895823698550259
2018,Michigan,fpl_000100,30698,412692,7.438477120952188
2018,Michigan,fpl_100200,26003,448891,5.792720281761051
2018,Minnesota,fpl_000100,7921,149502,5.298256879506629
2018,Minnesota,fpl_100200,12044,222723,5.407613941981744
2018,Mississippi,fpl_000100,14981,192952,7.764107135453377
2018,Mississippi,fpl_100200,8318,167289,4.972233679440968
2018,Missouri,fpl_000100,18319,247209,7.41032891197327
2018,Missouri,fpl_100200,17902,299403,5.97923200502333
2018,Montana,fpl_000100,2265,35999,6.291841440040001
